0pp0;Name;GraveNo;Enclosure Type;LaborAssessment;Burial No;Extra skeletal remains?;Notes on burial;Assemblage?;AnimalRemains;Lithics;HMPottery;Storage;FineVessels;DrinkingCups;Jewellery;Weapons;SpecialFinds;Imports;Grave Rank symbols;StartDate;Enddate;Chronology rating;;;;;;;;;
1005;Golyamata mogila;4;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;primary burial;Y;N;N;N;N;"(1)jug;(1)bowl";;;(1)iron knife;(2)clay unguentariii. One has inscription in greek;;1 - One or two status symbols (ochre, personal jewellery);100;150;2 - specialist consulted on a single item;;;;;;;;;
1006;Peshova mogila;1;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;2;Cist grave;some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period);1;N;;;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;3;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;Y;N;N;N;N;N;N;(2) bronze bracelets;;;;1 - One or two status symbols (ochre, personal jewellery);300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;4;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;Y;N;N;N;N;N;N;(2) iron belt buckles;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;5;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;Y;N;N;N;N;N;N;"(2) silver earrngs; (142) glass beads; (2) bronze earings;(3) bronze rings";;;;1 - One or two status symbols (ochre, personal jewellery);300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;6;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;7;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;Y;N;N;N;N;N;N;(44) glass beads;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;8;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;9;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;Y;N;N;N;N;N;N;(1) bronze earing;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;10;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;Y;N;N;N;N;N;N;(1) iron pin;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;11;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;12;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;13;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;14;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;15;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;Y;N;N;N;N;N;N;(2) iron rings;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;16;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;17;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;18;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;19;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;20;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;21;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;22;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;23;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;24;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;25;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;26;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;27;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;28;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;29;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;30;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;31;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;32;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;33;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;34;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;35;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;Y;N;N;N;N;N;N;(2)bronze earings;;;;1 - One or two status symbols (ochre, personal jewellery);300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;36;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;37;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;38;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;39;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;40;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;41;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;42;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;43;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;44;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;45;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;46;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;Y;N;N;N;N;N;N;(2) bronze fibulae;;;;1 - One or two status symbols (ochre, personal jewellery);300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;47;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;48;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;Y;N;N;N;N;N;N;(2)bronze earings;;;;1 - One or two status symbols (ochre, personal jewellery);300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;49;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;50;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;51;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;Y;N;N;N;N;N;N;(1) bronze belt buckle;;;;1 - One or two status symbols (ochre, personal jewellery);300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;52;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;Y;N;N;N;N;N;(1) cup;"(2)bronze earings;(1) bronze ring";;(1)Kernos;;1 - One or two status symbols (ochre, personal jewellery);300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;53;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;Y;N;N;N;N;N;N;"(2)silver earings; glass beads";;;;1 - One or two status symbols (ochre, personal jewellery);300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;54;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;Y;N;N;N;N;N;N;"(2)silver earings; glass beads";;;;1 - One or two status symbols (ochre, personal jewellery);300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;55;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;400;500;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;56;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;400;500;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;57;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;400;500;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;58;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;400;500;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;59;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;400;500;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;60;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;400;500;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;61;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;400;500;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;62;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;400;500;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;63;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;400;500;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;64;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;400;500;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;65;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;400;500;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;66;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;400;500;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;67;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;400;500;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;68;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;400;500;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;69;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;400;500;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;70;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;400;500;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;71;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;72;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;73;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;74;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;75;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;76;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;77;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;78;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;79;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;80;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;81;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;82;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;83;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;84;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;85;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;86;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;87;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;88;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;89;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;90;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1006;Peshova mogila;91;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;300;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1008;Mound 2;1;dolmen;major elaboration (ashlar /cist /stone lined grave, brick tomb in RM, rockcut PH tomb, combination of any of the above);1;;;;;;;;;;;;;;0 - No symbols of status present;-900;-600;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1009;Raykova mogila;1;Wooden coffin (traces of) and tiles on top;some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period);1;N;;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;100;300;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1009;Raykova mogila;1;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;Y;N;N;N;N;(1) bowl;(1) cup;;;;;0 - No symbols of status present;100;300;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1010;Mound 8;1;clay platform - funeral pyre;some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period);1;N;;Y;N;N;N;N;(1) jug;;;"(1) iron knife; (1) iron spear; (1) chain mail (fragments)";;;1 - One or two status symbols (ochre, personal jewellery);-100;-50;3 - a number of burial aspects consulted and crossreferenced to formulate a date;;;;;;;;;
1010;Mound 8;2;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;The grave contains remains of another 3-7 individuals;N;N;N;N;N;N;N;;;;;0 - No symbols of status present;-100;-50;3 - a number of burial aspects consulted and crossreferenced to formulate a date;;;;;;;;;
